Incident_ID,Age,Gender,Race,School_Affiliation,Shooter_Outcome,Shooter_Died,Injury
20241126NYHER,,,,,Fled/Escaped,false,None
20241125OHWEC,,,,,Fled/Escaped,false,None
20241125TXPIM,,,,,Fled/Escaped,false,None
20241122CTJAN,Teen,Male,,,Fled/Escaped,false,None
20241122DCEAW,Teen,Male,Black,,Fled/Escaped,false,None
20241119OHCOC,,,,,Fled/Escaped,false,None
20241119TNCEM,16,Male,,Student,Fled/Escaped,false,None
20241112ALWOB,Teen,Male,,Student,Fled/Escaped,false,None
20241112GATWA,Teen,Male,,Student,Fled/Escaped,false,None
20241111MDDUN,14,Male,,Student,Fled/Escaped,false,None
20241109ILHIC,Adult,Male,,,Fled/Escaped,false,None
20241109ILHIC,Adult,Male,,,Fled/Escaped,false,None
20241109ILHIC,Adult,Male,,,Fled/Escaped,false,None
20241109ILHIC,Adult,Male,,,Fled/Escaped,false,None
20241107WIROK,13,Male,,Former Student,Fled/Apprehended,false,None
20241107UTWES,16,Male,,Student,Fled/Apprehended,false,None
20241106DESTW,Adult,,,Security Guard,Law Enforcement,false,None
20241106ILLAC,,,,No Relation,Fled/Escaped,false,None
20241105ORCES,Child,,,Student,Surrendered,false,None
20241105FLTYS,13,Female,,Student,Surrendered,false,Wounded
20241104NCPEW,Teen,Male,,,Fled/Escaped,false,None
20241104NYAQR,,,,,Fled/Escaped,false,None
20241101ILWIC,,,,,Fled/Escaped,false,None
20241031OHRIP,Adult,Male,,Parent,Apprehended/Killed by SRO,false,None
20241030ALFSP,5,Male,,Relative,Surrendered,false,None
20241029MSMEM,,,,,Fled/Escaped,false,None
20241027SCBUB,,,,Nonstudent Using Athletic Facilities/Attending Game,Fled/Escaped,false,None
20241030SDCHC,,,,,Fled/Escaped,false,None
20241025LASTS,22,Male,Black,Nonstudent Using Athletic Facilities/Attending Game,Fled/Apprehended,false,None
20241024KSPHP,26,Male,White,No Relation,Apprehended/Killed by LE,false,None
20241023MSWEL,Teen,Male,,No Relation,Fled/Apprehended,false,None
20241022TNCOM,Adult,Male,,No Relation,Fled/Escaped,false,None
